id,first_name,last_name,Gender,Country,Institute,Department,Qualification,Year,Quarter,Status,Reason,Cohort,CohortKey,Fees,Other Charges,Expenditures
1,Fanny,Milstead,Male,Singapore,smu,science,Phd.,2008,Q3,Withdrawn,homesick,Sept intake,1,1770,1039,280
2,Tannie,Konzelmann,Male,Singapore,smu,arts,Bachelor,2010,Q1,Withdrawn,homesick,March Intake,2,4583,1830,486
3,Gradeigh,Pyford,Female,Singapore,smu,engineering,Bachelor,1992,Q1,Active,NA,Sept intake,1,2357,1637,394
4,Lorne,Josefsson,Male,Singapore,smu,engineering,Bachelor,2011,Q4,Active,NA,Sept intake,1,3377,1213,210
5,Reinaldos,Koppe,Male,Singapore,smu,engineering,Bachelor,1994,Q2,Withdrawn,homesick,June Intake,3,2373,1757,397
6,Gan,Itschakov,Male,Singapore,smu,engineering,Bachelor,2009,Q2,Withdrawn,homesick,Sept intake,1,1822,1760,267
7,Flossie,Bearman,Male,Singapore,smu,science,Bachelor,1998,Q4,Active,NA,March Intake,2,2195,741,450
8,Bo,Capron,Female,Singapore,smu,science,Bachelor,2010,Q4,Withdrawn,homesick,June Intake,3,1343,1101,268
9,Sheilah,Domney,Male,Singapore,smu,science,Bachelor,2001,Q1,Active,NA,Sept intake,1,2078,739,362
10,Pietro,Brigman,Male,Singapore,smu,arts,Bachelor,1991,Q4,Active,NA,June Intake,3,2447,757,436
11,Catharina,Sharkey,Female,Singapore,smu,science,Bachelor,2013,Q3,Active,NA,June Intake,3,2185,1851,488
12,Clay,Jeschner,Female,Singapore,smu,arts,Bachelor,2000,Q4,Active,NA,Sept intake,1,4233,1960,412
13,Clarabelle,Jansens,Male,Singapore,smu,engineering,Bachelor,2014,Q4,Active,NA,June Intake,3,2576,808,464
14,Eddy,Baake,Male,Singapore,smu,engineering,Bachelor,1992,Q4,Active,NA,March Intake,2,2462,551,390
15,Jemie,Hundell,Female,Singapore,smu,engineering,Bachelor,2005,Q4,Withdrawn,homesick,June Intake,3,3245,1064,307
16,Una,Cordeau],Male,Singapore,smu,arts,Bachelor,1993,Q1,Withdrawn,homesick,March Intake,2,4457,1774,385
17,Otes,Sima,Female,Singapore,smu,arts,Phd.,2009,Q2,Withdrawn,homesick,June Intake,3,3925,1776,337
18,Pansy,Parcells,Female,Singapore,smu,engineering,Bachelor,1995,Q4,Active,NA,March Intake,2,4458,1550,462
19,Carole,Keogh,Female,Singapore,smu,arts,Bachelor,2010,Q4,Active,NA,Sept intake,1,3990,508,416
20,Marlie,Brettle,Male,Singapore,smu,arts,Phd.,2001,Q1,Active,NA,June Intake,3,2470,1797,416
21,Weidar,McCarrell,Male,Singapore,smu,science,Degree,2005,Q3,Withdrawn,homesick,June Intake,3,1097,1688,315
22,Ruperto,Pyer,Male,Singapore,smu,engineering,Degree,2006,Q3,Active,NA,March Intake,2,1971,1661,366
23,Thomasina,Dumphries,Male,Singapore,smu,science,Degree,2014,Q4,Active,NA,Sept intake,1,2488,1831,466
24,Courtnay,Jiruch,Male,Singapore,smu,engineering,Phd.,2004,Q3,Active,NA,June Intake,3,4925,1605,277
25,Adolf,Cooke,Female,Singapore,smu,engineering,Degree,2001,Q3,Active,NA,June Intake,3,3067,599,392
26,Lora,Boij,Female,Singapore,smu,arts,Bachelor,1997,Q4,Withdrawn,Expensive,Sept intake,1,1824,1894,207
27,Leela,Feechum,Male,Singapore,ntu,science,Degree,2016,Q4,Active,NA,Sept intake,1,4246,1015,323
28,Nalani,Kording,Male,Singapore,nus,engineering,Bachelor,1995,Q4,Active,NA,June Intake,3,4035,628,383
29,Jeremy,Brockway,Male,Singapore,ntu,arts,Bachelor,1998,Q2,Withdrawn,Academically unprepared,June Intake,3,3774,807,438
30,Percival,Kilford,Female,Singapore,ntu,engineering,Phd.,2020,Q4,Active,NA,Sept intake,1,4367,1065,216
31,Meredith,Harbottle,Male,Singapore,smu,engineering,Bachelor,2001,Q1,Withdrawn,homesick,March Intake,2,1279,1942,267
32,Kaspar,Bohey,Male,Singapore,smu,science,Phd.,2016,Q4,Withdrawn,homesick,Sept intake,1,3600,968,233
33,Sergeant,Guys,Male,Singapore,nus,engineering,Bachelor,1996,Q3,Active,NA,Sept intake,1,1464,798,421
34,Yelena,Lund,Male,Singapore,nus,arts,Degree,2010,Q4,Active,NA,Sept intake,1,2177,1568,469
35,Mame,Thorsby,Male,Singapore,smu,engineering,Bachelor,2009,Q4,Withdrawn,Expensive,Sept intake,1,2029,1984,317
36,Rafferty,Fermoy,Female,Singapore,ntu,engineering,Phd.,2004,Q4,Active,NA,Sept intake,1,2001,1980,451
37,Petra,Paxton,Female,Singapore,ntu,arts,Degree,2009,Q4,Withdrawn,Academically unprepared,June Intake,3,4108,1813,280
38,Evie,Pigram,Female,Singapore,smu,science,Degree,2007,Q4,Active,NA,Sept intake,1,4135,1975,209
39,Robina,Fallows,Male,Singapore,smu,engineering,Degree,1993,Q3,Active,NA,June Intake,3,3202,601,351
40,Charmine,Loutheane,Female,Singapore,smu,science,Phd.,2012,Q3,Withdrawn,homesick,March Intake,2,2555,1485,349
